,state,district
3508,Madhya Pradesh,Mandsaur
3516,Madhya Pradesh,Ratlam
3524,Madhya Pradesh,Ujjain
3531,Madhya Pradesh,Shajapur
3540,Madhya Pradesh,Dewas
3548,Madhya Pradesh,Dhar
3556,Madhya Pradesh,Indore
3561,Madhya Pradesh,Khargone (West Nimar)
3571,Madhya Pradesh,Barwani
3581,Madhya Pradesh,Rajgarh
3588,Madhya Pradesh,Vidisha
3598,Madhya Pradesh,Bhopal
3601,Madhya Pradesh,Sehore
3609,Madhya Pradesh,Raisen
3617,Madhya Pradesh,Betul
3626,Madhya Pradesh,Harda
3633,Madhya Pradesh,Hoshangabad
3641,Madhya Pradesh,Katni
3649,Madhya Pradesh,Jabalpur
3656,Madhya Pradesh,Narsimhapur
3661,Madhya Pradesh,Dindori
3663,Madhya Pradesh,Mandla
3669,Madhya Pradesh,Chhindwara
3681,Madhya Pradesh,Seoni
3689,Madhya Pradesh,Balaghat
3699,Madhya Pradesh,Guna
3706,Madhya Pradesh,Ashoknagar
3711,Madhya Pradesh,Shahdol
3716,Madhya Pradesh,Anuppur
3720,Madhya Pradesh,Sidhi
3727,Madhya Pradesh,Singrauli
3730,Madhya Pradesh,Jhabua
3735,Madhya Pradesh,Alirajpur
3738,Madhya Pradesh,Khandwa (East Nimar)
3744,Madhya Pradesh,Burhanpur
3747,Maharashtra,Nandurbar
3753,Maharashtra,Dhule
3757,Maharashtra,Jalgaon
3772,Maharashtra,Buldana
3785,Maharashtra,Akola
3792,Maharashtra,Washim
3798,Maharashtra,Amravati
3812,Maharashtra,Wardha
3820,Maharashtra,Nagpur
3835,Maharashtra,Bhandara
3842,Maharashtra,Gondiya
3850,Maharashtra,Gadchiroli
3862,Maharashtra,Chandrapur
3877,Maharashtra,Yavatmal
3893,Maharashtra,Nanded
3909,Maharashtra,Hingoli
3914,Maharashtra,Parbhani
3923,Maharashtra,Jalna
3931,Maharashtra,Aurangabad
3940,Maharashtra,Nashik
3955,Maharashtra,Thane
3970,Maharashtra,Mumbai Suburban
3971,Maharashtra,Mumbai
3972,Maharashtra,Raigarh
3988,Maharashtra,Pune
4003,Maharashtra,Ahmadnagar
4018,Maharashtra,Bid
4029,Maharashtra,Latur
4039,Maharashtra,Osmanabad
4047,Maharashtra,Solapur
4059,Maharashtra,Satara
4070,Maharashtra,Ratnagiri
4079,Maharashtra,Sindhudurg
4088,Maharashtra,Kolhapur
4101,Maharashtra,Sangli
4112,Manipur,Senapati
4119,Manipur,Tamenglong
4123,Manipur,Churachandpur
4128,Manipur,Bishnupur
4131,Manipur,Thoubal
4135,Manipur,Imphal West
4140,Manipur,Imphal East
4145,Manipur,Ukhrul
4151,Manipur,Chandel
4156,Meghalaya,West Garo Hills
4165,Meghalaya,East Garo Hills
4171,Meghalaya,South Garo Hills
4176,Meghalaya,West Khasi Hills
4183,Meghalaya,Ribhoi
4187,Meghalaya,East Khasi Hills
4196,Meghalaya,Jaintia Hills
4202,Mizoram,Mamit
4206,Mizoram,Kolasib
4210,Mizoram,Aizawl
4216,Mizoram,Champhai
4221,Mizoram,Serchhip
4224,Mizoram,Lunglei
4228,Mizoram,Lawngtlai
4232,Mizoram,Saiha
4234,Nagaland,Mon
4249,Nagaland,Mokokchung
4259,Nagaland,Zunheboto
4273,Nagaland,Wokha
4286,Nagaland,Dimapur
4295,Nagaland,Phek
4310,Nagaland,Tuensang
4327,Nagaland,Longleng
4332,Nagaland,Kiphire
4341,Nagaland,Kohima
4350,Nagaland,Peren
4357,Odisha,Bargarh
4372,Odisha,Jharsuguda
4382,Odisha,Sambalpur
4403,Odisha,Debagarh
4407,Odisha,Sundargarh
4438,Odisha,Kendujhar
4463,Odisha,Mayurbhanj
4495,Odisha,Baleshwar
4517,Odisha,Bhadrak
4530,Odisha,Kendrapara
4543,Odisha,Jagatsinghapur
4554,Odisha,Cuttack
4580,Odisha,Jajapur
4599,Odisha,Dhenkanal
4613,Odisha,Anugul
4637,Odisha,Nayagarh
4650,Odisha,Khordha
4672,Odisha,Puri
4688,Odisha,Ganjam
4718,Odisha,Gajapati
4729,Odisha,Kandhamal
4747,Odisha,Baudh
4754,Odisha,Subarnapur
4763,Odisha,Balangir
4775,Odisha,Nuapada
4781,Odisha,Kalahandi
4795,Odisha,Rayagada
4811,Odisha,Nabarangapur
4824,Odisha,Koraput
4846,Odisha,Malkangiri
4858,Puducherry,Yanam
4860,Puducherry,Puducherry
4865,Puducherry,Mahe
4867,Puducherry,Karaikal
4870,Punjab,Gurdaspur
4876,Punjab,Kapurthala
4880,Punjab,Jalandhar
4886,Punjab,Hoshiarpur
4891,Punjab,Shahid Bhagat Singh Nagar
4894,Punjab,Fatehgarh Sahib
4898,Punjab,Ludhiana
4906,Punjab,Moga
4909,Punjab,Firozpur
4914,Punjab,Muktsar
4917,Punjab,Faridkot
4919,Punjab,Bathinda
4922,Punjab,Mansa
4925,Punjab,Patiala
4930,Punjab,Amritsar
4935,Punjab,Tarn Taran
4938,Punjab,Rupnagar
4943,Punjab,Sahibzada Ajit Singh Nagar
4947,Punjab,Sangrur
4953,Punjab,Barnala
4955,Rajasthan,Ganganagar
4965,Rajasthan,Hanumangarh
4972,Rajasthan,Bikaner
4980,Rajasthan,Churu
4986,Rajasthan,Jhunjhunun
4992,Rajasthan,Alwar
5004,Rajasthan,Bharatpur
5014,Rajasthan,Dhaulpur
5019,Rajasthan,Karauli
5025,Rajasthan,Sawai Madhopur
5032,Rajasthan,Dausa
5037,Rajasthan,Jaipur
5050,Rajasthan,Sikar
